respondent_id,submission_time,duration_seconds,age_group,gender,emirate,nationality,income,occupation,formal_attire_freq,occasions,accessories_purchased,purchase_freq,buy_location,shopping_channel,spend_tie,spend_socks,main_influence,imp_fabric_quality,imp_design,imp_pricing,imp_brand_rep,imp_comfort,imp_durability,imp_variety,imp_sustainability,brands_purchased,loyalty_factor,willing_try_new,convince_try,purchase_likelihood_6m,saturn_consideration,most_important_feature
R1071,2025-03-17 23:55,330,25–34,Female,Dubai,South Asian,"10,001–20,000",Private Employee,Daily,Office; Religious Events,Ties; Pocket Squares; Dress Socks; Cufflinks; Belts,Monthly,Department Store,No Preference,AED 201–300,AED 25–50,Brand Reputation,3,4,4,4,3,3,4,4,Massimo Dutti; Brooks Brothers,Prestige,Probably,Premium Quality; Social Media Reviews; Money-back Guarantee,Neutral,Not Sure,Luxury packaging
R3714,2025-02-08 13:13,429,45–54,Male,Dubai,European,"Above 35,000",Business Owner,Once a week,Never,Ties; Pocket Squares; Dress Socks; Belts,Monthly,Department Store,Physical Store,AED 201–300,AED 51–75,Design,5,5,5,5,5,5,5,5,Hugo Boss; Charles Tyrwhitt,Quality,Not Sure,Introductory Discounts; Word of Mouth; Money-back Guarantee,Very Likely,Definitely Would,Value for money
R3294,2025-03-24 23:10,383,25–34,Male,Abu Dhabi,Arab Expat,"10,001–20,000",Private Employee,Occasionally,Office; Weddings; Formal Dinners,Ties; Dress Socks; Handkerchiefs; Belts,Every 3 months,Shopping Mall,Physical Store,AED 50–100,AED 25–50,Design,5,4,4,5,4,3,4,5,Zara,Price,Not Sure,Introductory Discounts; Social Media Reviews,Unlikely,Probably Would Not,Exclusive limited editions
R1935,2025-03-11 23:02,307,25–34,Male,Sharjah,South Asian,"5,000–10,000",Private Employee,Occasionally,Never,Ties; Dress Socks; Belts,Only when needed,Shopping Mall,No Preference,AED 101–200,Under AED 25,Brand Reputation,5,3,3,2,4,5,3,4,Other,Design,Not Sure,Introductory Discounts; Social Media Reviews; Word of Mouth,Unlikely,Probably Would Not,Local UAE identity
R3245,2025-02-13 09:05,384,25–34,Male,Dubai,Arab Expat,"20,001–35,000",Business Owner,3–5 times/week,Weddings; Business Meetings; Religious Events; Formal Dinners,None,Monthly,Brand Website,Online,AED 101–200,AED 51–75,Fabric Quality,3,4,4,2,3,3,4,3,Massimo Dutti; Hugo Boss; Brooks Brothers,Customer Service,Not Sure,Premium Quality; Word of Mouth; Luxury Packaging,Neutral,Not Sure,Value for money
R2643,2025-03-28 13:36,213,25–34,Male,Sharjah,Other,"5,000–10,000",Private Employee,Rarely,Religious Events; Formal Dinners,Ties; Belts,Once a year,Shopping Mall,Online,AED 50–100,Under AED 25,Price,2,4,3,3,3,3,3,3,H&M; Hugo Boss,Customer Service,Probably,Word of Mouth,Unlikely,Probably Would Not,Exclusive limited editions
R3074,2025-02-04 03:38,373,25–34,Prefer not to say,Umm Al Quwain,African,"20,001–35,000",Government Employee,Once a week,Office; Weddings; Business Meetings; Religious Events,Ties; Handkerchiefs; Cufflinks,Every 3 months,Shopping Mall,Online,AED 101–200,AED 51–75,Brand Reputation,4,4,5,5,5,5,4,5,Hugo Boss; Brooks Brothers,Customer Service,Not Sure,Premium Quality; Social Media Reviews; Word of Mouth,Neutral,Not Sure,Strong brand reputation
R2122,2025-02-05 06:24,310,45–54,Female,Fujairah,South Asian,"10,001–20,000",Private Employee,Occasionally,Office; Weddings; Parties; Formal Dinners,Pocket Squares; Belts,Every 6 months,Brand Store,Physical Store,AED 50–100,Above AED 75,Design,4,3,3,3,5,3,3,2,Other,Quality,Probably Not,Social Media Reviews; Influencer Recommendations,Unlikely,Probably Would Not,Comfort and fit
R1178,2025-02-06 01:52,519,45–54,Male,Dubai,European,"Above 35,000",Private Employee,Once a week,Office; Weddings; Business Meetings; Religious Events; Formal Dinners,Ties; Dress Socks; Handkerchiefs,Every 6 months,Online Marketplace,Physical Store,AED 50–100,AED 51–75,Fabric Quality,3,4,3,5,3,5,4,5,Zara; Massimo Dutti,Quality,Definitely,Introductory Discounts; Luxury Packaging; Money-back Guarantee,Likely,Probably Would,Luxury packaging
R2995,2025-03-15 01:38,626,35–44,Male,Dubai,European,"10,001–20,000",Private Employee,3–5 times/week,Religious Events,Ties; Belts,Every 6 months,Shopping Mall,Physical Store,AED 101–200,AED 25–50,Price,3,3,3,2,5,3,5,5,Other,Price,Probably,Social Media Reviews; Money-back Guarantee,Unlikely,Probably Would Not,Value for money
R1444,2025-02-11 04:22,479,25–34,Female,Dubai,Southeast Asian,"10,001–20,000",Government Employee,3–5 times/week,Never,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Cufflinks; Belts,Monthly,Brand Website,Physical Store,AED 101–200,Above AED 75,Durability,5,5,5,5,4,4,3,5,Massimo Dutti; Charles Tyrwhitt; Brooks Brothers,Quality,Probably,Influencer Recommendations; Word of Mouth; Luxury Packaging,Likely,Probably Would,Exclusive limited editions
R1386,2025-03-05 08:37,254,35–44,Male,Dubai,GCC,"10,001–20,000",Private Employee,Once a week,Office; Weddings; Business Meetings; Parties; Formal Dinners,Pocket Squares; Dress Socks; Cufflinks; Belts,Every 3 months,Brand Website,Online,AED 201–300,AED 25–50,Durability,4,5,3,3,5,4,5,4,Massimo Dutti; Hugo Boss,Quality,Probably,Premium Quality; Influencer Recommendations; Money-back Guarantee,Likely,Probably Would,Value for money
R2471,2025-03-31 22:24,270,25–34,Male,Sharjah,Emirati,"20,001–35,000",Self-employed,Occasionally,Office; Weddings; Parties; Formal Dinners,None,Only when needed,Department Store,Physical Store,AED 50–100,AED 25–50,Price,4,2,3,4,4,3,4,2,Zara; H&M; Massimo Dutti; Hugo Boss; Brooks Brothers,Design,Definitely Not,Premium Quality; Luxury Packaging,Very Unlikely,Definitely Would Not,Wide variety of designs
R2481,2025-03-22 15:00,445,18–24,Male,Ras Al Khaimah,South Asian,"Under 5,000",Private Employee,Occasionally,Weddings; Parties; Formal Dinners,Dress Socks; Handkerchiefs; Belts,Every 6 months,Brand Store,Physical Store,AED 101–200,AED 25–50,Price,4,2,3,1,4,5,3,2,Charles Tyrwhitt,Price,Probably,Introductory Discounts,Unlikely,Not Sure,Exclusive limited editions
R1691,2025-02-16 11:07,300,45–54,Male,Dubai,South Asian,"Above 35,000",Government Employee,Once a week,Office; Parties,Handkerchiefs,Every 3 months,Online Marketplace,Physical Store,Under AED 50,AED 25–50,Durability,5,4,3,3,4,3,4,5,H&M,Quality,Probably Not,Introductory Discounts; Word of Mouth,Unlikely,Probably Would Not,Sustainable materials
R1824,2025-02-19 12:48,598,45–54,Male,Abu Dhabi,Arab Expat,"Above 35,000",Business Owner,3–5 times/week,Office; Religious Events; Formal Dinners,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Cufflinks,Every 3 months,Brand Store,Physical Store,AED 50–100,AED 51–75,Design,4,5,2,4,3,5,3,3,Other,Quality,Probably,Introductory Discounts; Premium Quality; Money-back Guarantee,Likely,Definitely Would,Value for money
R3610,2025-02-16 10:11,147,45–54,Male,Dubai,South Asian,"10,001–20,000",Private Employee,Occasionally,Office; Weddings,Ties; Belts,Once a year,Shopping Mall,Online,AED 101–200,AED 25–50,Design,5,5,5,5,4,3,2,4,Zara; H&M; Charles Tyrwhitt,Customer Service,Probably,Luxury Packaging,Likely,Probably Would,Sustainable materials
R1087,2025-03-24 16:44,197,25–34,Male,Dubai,European,"10,001–20,000",Private Employee,Once a week,Never,Ties; Dress Socks; Handkerchiefs,Only when needed,Shopping Mall,No Preference,Under AED 50,Under AED 25,Brand Reputation,1,5,3,3,4,4,3,2,Other,Price,Probably,Introductory Discounts,Unlikely,Probably Would Not,Wide variety of designs
R3175,2025-03-01 11:02,305,35–44,Male,Ajman,Arab Expat,"Above 35,000",Government Employee,Daily,Office; Weddings; Business Meetings; Parties; Formal Dinners,Dress Socks,Once a year,Shopping Mall,No Preference,AED 50–100,AED 51–75,Brand Reputation,3,5,4,5,3,5,3,3,Massimo Dutti; Hugo Boss,Quality,Probably,Premium Quality; Social Media Reviews; Influencer Recommendations,Neutral,Probably Would,Comfort and fit
R3384,2025-03-19 08:57,265,18–24,Male,Dubai,South Asian,"10,001–20,000",Private Employee,Occasionally,Formal Dinners,Pocket Squares; Dress Socks; Belts,Only when needed,Shopping Mall,Online,Under AED 50,Under AED 25,Design,3,3,1,3,4,3,5,1,H&M,Quality,Probably,Introductory Discounts; Word of Mouth; Luxury Packaging,Unlikely,Probably Would Not,Wide variety of designs
R1767,2025-02-07 00:23,112,18–24,Male,Abu Dhabi,Emirati,"Under 5,000",Private Employee,Daily,Weddings; Business Meetings; Formal Dinners,Dress Socks; Cufflinks,Monthly,Shopping Mall,Physical Store,Under AED 50,AED 51–75,Design,3,4,3,4,4,5,3,2,Other,Customer Service,Not Sure,Social Media Reviews; Influencer Recommendations; Money-back Guarantee,Unlikely,Probably Would Not,Affordable pricing
R2490,2025-03-26 20:22,594,18–24,Male,Ras Al Khaimah,South Asian,"Under 5,000",Private Employee,3–5 times/week,Religious Events,Dress Socks; Belts,Every 3 months,Department Store,Physical Store,AED 101–200,AED 25–50,Design,2,5,5,5,3,5,2,3,H&M; Massimo Dutti,Product Variety,Definitely,Social Media Reviews; Influencer Recommendations; Word of Mouth,Likely,Probably Would,Local UAE identity
R2958,2025-02-21 03:31,615,45–54,Male,Dubai,Arab Expat,"Above 35,000",Self-employed,Occasionally,Weddings; Business Meetings; Religious Events; Formal Dinners,Dress Socks; Cufflinks; Belts,Once a year,Department Store,Online,Above AED 300,AED 25–50,Comfort,5,5,4,5,4,5,1,4,Hugo Boss,Price,Probably,Premium Quality,Neutral,Probably Would,Luxury packaging
R2583,2025-03-03 23:13,247,25–34,Prefer not to say,Sharjah,Arab Expat,"20,001–35,000",Business Owner,3–5 times/week,Office; Business Meetings; Formal Dinners,Ties; Pocket Squares; Dress Socks,Every 6 months,Shopping Mall,Online,AED 50–100,AED 25–50,Fabric Quality,5,5,5,4,4,5,5,3,Zara; Massimo Dutti; Hugo Boss; Brooks Brothers,Design,Probably,Social Media Reviews; Luxury Packaging,Likely,Probably Would,Comfort and fit
R2328,2025-03-02 21:17,520,25–34,Female,Dubai,South Asian,"Above 35,000",Private Employee,Once a week,Never,Ties; Dress Socks,Once a year,Tailor/Boutique,Online,AED 50–100,Above AED 75,Brand Reputation,4,1,4,3,4,4,4,2,Other,Customer Service,Probably,Social Media Reviews; Influencer Recommendations; Money-back Guarantee,Unlikely,Not Sure,Affordable pricing
R2308,2025-03-14 09:18,485,18–24,Female,Dubai,Southeast Asian,"5,000–10,000",Private Employee,Once a week,Office; Weddings,Dress Socks; Handkerchiefs,Once a year,Brand Website,Physical Store,AED 101–200,Under AED 25,Price,3,3,3,3,3,4,3,4,Zara; H&M,Prestige,Probably,Introductory Discounts; Social Media Reviews; Word of Mouth,Neutral,Not Sure,Wide variety of designs
R1752,2025-02-28 09:11,351,25–34,Male,Sharjah,South Asian,"20,001–35,000",Government Employee,Daily,Weddings; Business Meetings; Parties; Religious Events; Formal Dinners,Ties; Pocket Squares; Dress Socks; Belts,Every 3 months,Tailor/Boutique,Online,AED 201–300,AED 25–50,Fabric Quality,4,5,4,4,3,3,4,4,Zara; Massimo Dutti; Brooks Brothers,Design,Probably,Premium Quality; Luxury Packaging; Money-back Guarantee,Very Likely,Definitely Would,Affordable pricing
R3072,2025-03-13 03:17,629,25–34,Male,Dubai,GCC,"20,001–35,000",Government Employee,3–5 times/week,Office; Weddings; Business Meetings; Religious Events; Formal Dinners,Cufflinks,Every 3 months,Online Marketplace,Online,AED 201–300,AED 25–50,Durability,5,4,4,3,5,3,4,4,Zara; Brooks Brothers,Quality,Probably,Introductory Discounts; Social Media Reviews,Likely,Probably Would,Unique and elegant designs
R2368,2025-03-21 06:42,153,25–34,Male,Ras Al Khaimah,Arab Expat,"10,001–20,000",Business Owner,Daily,Parties; Religious Events,Ties; Cufflinks; Belts,Every 3 months,Brand Store,Physical Store,Above AED 300,AED 25–50,Design,5,5,4,3,5,4,3,2,Massimo Dutti; Hugo Boss,Quality,Probably,Social Media Reviews; Word of Mouth,Very Likely,Definitely Would,Value for money
R1984,2025-02-08 07:08,317,18–24,Male,Dubai,Emirati,"Under 5,000",Private Employee,Once a week,Office; Weddings,Ties; Pocket Squares; Belts,Only when needed,Department Store,No Preference,Under AED 50,Under AED 25,Price,3,3,4,3,2,2,4,4,Zara,Design,Probably Not,Premium Quality; Money-back Guarantee,Very Unlikely,Probably Would Not,Premium fabric quality
R2426,2025-03-20 09:41,212,18–24,Male,Umm Al Quwain,South Asian,"5,000–10,000",Other,Rarely,Office; Weddings; Religious Events,Dress Socks,Every 6 months,Shopping Mall,Online,Under AED 50,Under AED 25,Price,1,5,3,4,4,3,4,1,Other,Quality,Definitely,Introductory Discounts,Neutral,Not Sure,Value for money
R2614,2025-02-07 23:12,354,45–54,Male,Dubai,Emirati,"5,000–10,000",Student,Occasionally,Office; Religious Events,Ties; Belts,Only when needed,Online Marketplace,No Preference,AED 50–100,Under AED 25,Fabric Quality,4,3,4,4,3,3,4,2,Other,Product Variety,Not Sure,Introductory Discounts; Money-back Guarantee,Neutral,Not Sure,Trustworthy after-sales support
R1416,2025-02-13 03:11,602,18–24,Male,Abu Dhabi,Arab Expat,"Under 5,000",Student,Occasionally,Never,Handkerchiefs; Belts,Only when needed,Shopping Mall,Online,Under AED 50,Under AED 25,Durability,3,4,3,2,4,4,4,3,H&M,Price,Not Sure,Introductory Discounts; Word of Mouth; Money-back Guarantee,Unlikely,Probably Would Not,Luxury packaging
R3089,2025-04-01 17:21,298,25–34,Male,Dubai,Emirati,"10,001–20,000",Private Employee,3–5 times/week,Weddings; Business Meetings; Religious Events; Formal Dinners,Ties; Dress Socks; Handkerchiefs; Cufflinks,Monthly,Brand Website,Physical Store,AED 201–300,AED 51–75,Comfort,3,3,5,3,4,3,5,2,Hugo Boss,Prestige,Probably,Money-back Guarantee,Likely,Probably Would,Affordable pricing
R3312,2025-02-01 02:18,533,25–34,Male,Dubai,Emirati,"Above 35,000",Self-employed,Occasionally,Office; Business Meetings; Parties; Formal Dinners,Ties; Dress Socks; Cufflinks; Belts,Every 6 months,Brand Store,Online,AED 201–300,AED 25–50,Price,5,2,5,4,4,3,4,4,Other,Product Variety,Definitely Not,Social Media Reviews; Influencer Recommendations; Word of Mouth,Very Unlikely,Definitely Would Not,Fast and reliable delivery
R1619,2025-02-19 01:44,296,18–24,Female,Dubai,Southeast Asian,"Under 5,000",Other,Rarely,Never,Ties; Dress Socks,Only when needed,Department Store,Online,Under AED 50,Under AED 25,Comfort,3,4,3,4,3,2,3,2,H&M,Price,Definitely,Money-back Guarantee,Very Likely,Definitely Would,Value for money
R1587,2025-02-16 16:51,76,25–34,Male,Fujairah,Arab Expat,"5,000–10,000",Government Employee,Once a week,Parties,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Cufflinks; Belts,Once a year,Brand Store,Online,AED 101–200,Under AED 25,Brand Reputation,5,5,3,3,4,5,4,2,Other,Quality,Probably Not,Introductory Discounts; Luxury Packaging,Very Unlikely,Definitely Would Not,Affordable pricing
R3284,2025-02-10 01:16,418,25–34,Male,Dubai,GCC,"Above 35,000",Government Employee,Daily,Office; Business Meetings; Parties; Formal Dinners,Ties; Dress Socks; Cufflinks; Belts,Once a year,Online Marketplace,No Preference,AED 101–200,AED 51–75,Brand Reputation,5,5,5,5,5,5,5,5,Other,Prestige,Definitely,Premium Quality; Influencer Recommendations; Money-back Guarantee,Very Likely,Definitely Would,Durability and long-lasting material
R1527,2025-02-20 23:12,314,55+,Male,Dubai,South Asian,"5,000–10,000",Private Employee,Occasionally,Religious Events,None,Once a year,Shopping Mall,No Preference,Under AED 50,Under AED 25,Comfort,3,4,3,3,3,4,2,2,H&M,Price,Definitely,Introductory Discounts; Money-back Guarantee,Neutral,Not Sure,Wide variety of designs
R2600,2025-02-23 01:30,601,45–54,Male,Umm Al Quwain,Southeast Asian,"Above 35,000",Business Owner,Daily,Office; Weddings; Business Meetings; Parties,Pocket Squares; Dress Socks; Handkerchiefs; Cufflinks; Belts,Every 6 months,Brand Store,Physical Store,AED 101–200,Under AED 25,Brand Reputation,5,3,5,4,3,5,3,2,H&M,Quality,Probably,Premium Quality; Social Media Reviews; Word of Mouth,Very Likely,Definitely Would,Unique and elegant designs
R1226,2025-02-10 14:02,337,18–24,Male,Abu Dhabi,Other,"10,001–20,000",Private Employee,3–5 times/week,Weddings; Business Meetings; Parties; Religious Events,Ties; Dress Socks; Handkerchiefs; Belts,Only when needed,Shopping Mall,Online,AED 50–100,Under AED 25,Price,3,3,5,4,5,3,4,2,Other,Price,Definitely,Introductory Discounts; Premium Quality; Money-back Guarantee,Very Likely,Definitely Would,Premium fabric quality
R2134,2025-03-19 14:51,561,55+,Male,Dubai,Emirati,"5,000–10,000",Private Employee,Once a week,Business Meetings,Dress Socks; Cufflinks; Belts,Only when needed,Department Store,Online,AED 50–100,AED 51–75,Brand Reputation,3,4,3,2,3,4,4,4,H&M,Price,Not Sure,Introductory Discounts; Premium Quality; Money-back Guarantee,Neutral,Not Sure,Value for money
R3047,2025-03-02 13:20,439,35–44,Female,Fujairah,Arab Expat,"Under 5,000",Other,Once a week,Never,None,Every 3 months,Online Marketplace,Physical Store,AED 50–100,Under AED 25,Design,3,4,2,4,4,5,5,3,Other,Product Variety,Probably,Introductory Discounts; Premium Quality; Social Media Reviews,Neutral,Not Sure,Sustainable materials
R2291,2025-03-23 09:38,330,35–44,Male,Dubai,Southeast Asian,"Above 35,000",Government Employee,Occasionally,Office; Weddings; Business Meetings; Formal Dinners,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Belts,Every 6 months,Brand Store,Physical Store,AED 101–200,Above AED 75,Fabric Quality,4,5,5,5,4,4,5,3,Massimo Dutti; Hugo Boss,Quality,Probably,Influencer Recommendations; Money-back Guarantee,Likely,Probably Would,Exclusive limited editions
R2293,2025-02-20 20:50,216,25–34,Male,Dubai,South Asian,"5,000–10,000",Private Employee,3–5 times/week,Office; Weddings; Business Meetings; Religious Events; Formal Dinners,Ties; Pocket Squares; Cufflinks; Belts,Once a year,Tailor/Boutique,Online,AED 50–100,Under AED 25,Fabric Quality,4,2,3,3,3,4,3,5,Hugo Boss; Brooks Brothers,Product Variety,Probably,Introductory Discounts; Social Media Reviews; Word of Mouth,Neutral,Not Sure,Sustainable materials
R3225,2025-03-01 23:13,518,25–34,Male,Dubai,South Asian,"10,001–20,000",Other,Rarely,Office; Weddings; Business Meetings; Religious Events,Ties; Belts,Once a year,Brand Website,Online,AED 50–100,AED 25–50,Comfort,5,5,3,3,5,3,3,3,H&M,Design,Not Sure,Introductory Discounts; Luxury Packaging; Money-back Guarantee,Unlikely,Probably Would Not,Good customer service
R2420,2025-02-12 20:29,218,35–44,Male,Dubai,South Asian,"10,001–20,000",Private Employee,Occasionally,Office; Weddings,Dress Socks; Cufflinks,Only when needed,Department Store,Online,AED 50–100,Above AED 75,Design,5,5,3,3,4,2,3,3,Zara; Hugo Boss; Charles Tyrwhitt,Design,Not Sure,Influencer Recommendations; Word of Mouth,Unlikely,Probably Would Not,Good customer service
R2318,2025-02-08 08:36,318,35–44,Female,Abu Dhabi,Other,"20,001–35,000",Self-employed,3–5 times/week,Office; Weddings; Parties,Cufflinks,Monthly,Online Marketplace,Physical Store,AED 50–100,AED 25–50,Fabric Quality,5,3,4,4,4,5,3,4,H&M; Massimo Dutti; Hugo Boss,Customer Service,Definitely,Introductory Discounts; Premium Quality; Money-back Guarantee,Likely,Probably Would,Sustainable materials
R2040,2025-03-31 11:43,492,18–24,Male,Abu Dhabi,South Asian,"Under 5,000",Other,Occasionally,Office; Religious Events; Formal Dinners,Dress Socks; Belts,Only when needed,Department Store,Physical Store,AED 50–100,Under AED 25,Comfort,5,2,3,1,4,4,2,3,H&M,Quality,Probably Not,Introductory Discounts; Influencer Recommendations,Very Unlikely,Definitely Would Not,Fast and reliable delivery
R3747,2025-04-01 11:34,594,25–34,Female,Sharjah,South Asian,"20,001–35,000",Government Employee,Occasionally,Office; Weddings; Business Meetings,Ties; Dress Socks; Handkerchiefs; Belts,Every 6 months,Brand Store,Physical Store,AED 201–300,AED 25–50,Design,3,5,5,5,5,4,3,4,Other,Design,Probably,Introductory Discounts; Luxury Packaging; Money-back Guarantee,Neutral,Not Sure,Luxury packaging
R3362,2025-03-04 22:09,67,25–34,Male,Abu Dhabi,GCC,"10,001–20,000",Other,Once a week,Business Meetings; Formal Dinners,None,Every 3 months,Shopping Mall,Online,AED 50–100,Above AED 75,Design,3,5,5,5,5,4,2,1,Other,Customer Service,Not Sure,Social Media Reviews,Unlikely,Not Sure,Strong brand reputation
R3033,2025-03-13 08:01,437,25–34,Male,DUBAI,Arab Expat,"10,001–20,000",Government Employee,Daily,Business Meetings,Ties; Pocket Squares; Dress Socks; Belts,Every 3 months,Online Marketplace,Physical Store,AED 50–100,AED 25–50,Design,3,5,5,4,4,5,3,3,H&M; Massimo Dutti,Price,Probably,Premium Quality,Neutral,Not Sure,Local UAE identity
R2842,2025-02-11 08:43,555,18–24,Male,Dubai,South Asian,"5,000–10,000",Self-employed,Rarely,Religious Events,Handkerchiefs; Belts,Once a year,Online Marketplace,Online,AED 101–200,Under AED 25,Price,5,3,3,1,4,4,4,4,H&M,Price,Definitely,Introductory Discounts; Influencer Recommendations; Word of Mouth,Likely,Definitely Would,Trustworthy after-sales support
R1945,2025-03-09 08:49,239,25–34,Female,  Sharjah ,South Asian,"10,001–20,000",Government Employee,Occasionally,Office; Business Meetings; Formal Dinners,Pocket Squares; Dress Socks; Belts,Every 3 months,Shopping Mall,No Preference,AED 201–300,AED 25–50,Fabric Quality,5,4,3,4,5,4,3,4,Hugo Boss,Design,Probably Not,Influencer Recommendations; Word of Mouth; Luxury Packaging,Neutral,Not Sure,Durability and long-lasting material
R2635,2025-02-16 11:59,229,25–34,Male,Dubai,South Asian,"20,001–35,000",Private Employee,3–5 times/week,Office; Business Meetings; Parties; Formal Dinners,Ties; Dress Socks; Handkerchiefs; Belts,Only when needed,Shopping Mall,Online,AED 201–300,AED 25–50,Fabric Quality,5,4,4,5,3,4,3,3,Charles Tyrwhitt,Price,Definitely,Premium Quality; Social Media Reviews; Word of Mouth,Likely,Probably Would,Durability and long-lasting material
R2365,2025-03-04 12:18,333,25–34,Male,Dubai,South Asian,"10,001–20,000",Private Employee,Once a week,Office; Weddings,Ties; Belts,Only when needed,Shopping Mall,Online,AED 101–200,AED 51–75,Price,5,4,4,5,4,4,2,4,H&M,Customer Service,Probably,Introductory Discounts; Premium Quality; Money-back Guarantee,Neutral,Not Sure,Premium fabric quality
R1338,2025-02-24 21:13,473,18–24,Male,Dubai,Emirati,"5,000–10,000",Self-employed,Once a week,Office,Ties; Pocket Squares; Handkerchiefs; Cufflinks; Belts,Once a year,Online Marketplace,Online,Under AED 50,AED 25–50,Fabric Quality,4,1,2,2,3,3,4,5,Massimo Dutti; Charles Tyrwhitt,Quality,Not Sure,Premium Quality; Social Media Reviews; Word of Mouth,Unlikely,Probably Would Not,Durability and long-lasting material
R1026,2025-02-28 04:32,453,25–34,Male,Dubai,European,"Under 5,000",Student,Occasionally,Parties,Pocket Squares; Dress Socks; Belts,Every 6 months,Department Store,Online,AED 101–200,Under AED 25,Price,4,3,3,3,4,4,2,1,Zara; H&M,Price,Probably Not,Premium Quality; Social Media Reviews; Money-back Guarantee,Very Unlikely,Definitely Would Not,Premium fabric quality
R2610,2025-02-08 01:46,419,25–34,Female,Sharjah,South Asian,"5,000–10,000",Student,Rarely,Never,Ties; Dress Socks; Belts,Once a year,Shopping Mall,Physical Store,Under AED 50,AED 25–50,Design,2,3,3,3,4,4,2,3,Massimo Dutti,Product Variety,Definitely,Introductory Discounts,Neutral,Not Sure,Value for money
R1748,2025-02-20 15:40,249,35–44,Male,Abu Dhabi,European,"Above 35,000",Private Employee,Occasionally,Office; Business Meetings,Pocket Squares; Dress Socks; Handkerchiefs; Cufflinks; Belts,Monthly,Brand Website,No Preference,AED 201–300,AED 25–50,Price,5,5,4,4,5,5,4,2,Hugo Boss,Prestige,Probably,Influencer Recommendations,Likely,Probably Would,Strong brand reputation
R1024,2025-02-23 05:58,657,35–44,Male,Sharjah,Southeast Asian,"20,001–35,000",Business Owner,Daily,Office; Business Meetings; Parties,Ties; Dress Socks; Belts,Every 6 months,Brand Website,Physical Store,AED 101–200,Above AED 75,Brand Reputation,4,4,4,5,4,3,5,5,Massimo Dutti,Quality,Probably,Premium Quality,Neutral,Not Sure,Wide variety of designs
R1890,2025-03-25 19:56,622,25–34,Male,Abu Dhabi,Emirati,"10,001–20,000",Self-employed,Once a week,Office; Weddings; Parties; Religious Events,Ties; Dress Socks; Cufflinks,Only when needed,Brand Store,Online,AED 201–300,Under AED 25,Durability,5,4,4,4,4,3,4,5,Massimo Dutti; Hugo Boss,Design,Definitely Not,Premium Quality; Word of Mouth; Money-back Guarantee,Likely,Definitely Would,Trustworthy after-sales support
R3036,2025-02-21 11:50,485,45–54,Female,Abu Dhabi,Arab Expat,"Under 5,000",Student,Occasionally,Never,Handkerchiefs,Only when needed,Online Marketplace,Online,AED 50–100,AED 51–75,Price,3,4,2,4,3,4,3,3,Other,Customer Service,Not Sure,Luxury Packaging,Very Unlikely,Definitely Would Not,Wide variety of designs
R2375,2025-03-31 23:36,282,18–24,Male,Dubai,European,"Under 5,000",Student,Rarely,Business Meetings,Ties; Pocket Squares; Handkerchiefs; Belts,Only when needed,Shopping Mall,Physical Store,AED 50–100,,Fabric Quality,4,3,4,,4,4,1,2,Other,Design,Definitely Not,,Very Unlikely,Definitely Would Not,Premium fabric quality
R1000,2025-02-23 08:23,570,35–44,Female,Abu Dhabi,GCC,"Above 35,000",Government Employee,Daily,Office; Business Meetings; Parties; Formal Dinners,Ties; Dress Socks; Handkerchiefs; Belts,Once a year,Brand Store,No Preference,AED 101–200,Under AED 25,Design,3,4,5,5,4,5,4,5,Massimo Dutti; Hugo Boss; Charles Tyrwhitt,Quality,Probably Not,Introductory Discounts; Word of Mouth; Luxury Packaging,Neutral,Not Sure,Trustworthy after-sales support
R3515,2025-02-06 05:53,379,45–54,Prefer not to say,Abu Dhabi,South Asian,"Above 35,000",Business Owner,3–5 times/week,Weddings,Ties; Pocket Squares; Dress Socks; Handkerchiefs; Cufflinks; Belts,Every 3 months,Department Store,Physical Store,Under AED 50,AED 25–50,Comfort,3,3,3,3,3,3,3,3,Brooks Brothers,Quality,Probably,Premium Quality; Social Media Reviews; Word of Mouth,Very Likely,Definitely Would,Durability and long-lasting material
R2470,2025-03-14 17:06,537,45–54,Female,Dubai,South Asian,"Above 35,000",Business Owner,3–5 times/week,Office; Weddings; Business Meetings; Religious Events,Ties; Pocket Squares; Dress Socks,Every 6 months,Brand Store,Physical Store,AED 101–200,AED 25–50,Brand Reputation,5,3,4,3,5,4,5,5,Zara; Hugo Boss; Charles Tyrwhitt,Quality,Definitely,Social Media Reviews; Word of Mouth; Luxury Packaging,Very Likely,Definitely Would,Durability and long-lasting material
R2632,2025-02-03 19:45,203,35–44,Male,Ajman,Other,"10,001–20,000",Other,Occasionally,Never,None,Only when needed,Brand Store,Physical Store,Under AED 50,Under AED 25,Design,5,3,4,4,4,3,2,4,Zara; H&M,Price,Probably,Introductory Discounts; Premium Quality,Unlikely,Probably Would Not,Affordable pricing
